parent,child,ownership,owner_type,color
Merrill Lynch Co Inc,Bank Of New York Mellon,0.0083,Institution,#fb02ff
Merrill Lynch Co Inc,Harris Associates L P,0.008,Institution,#34173d
Merrill Lynch Co Inc,Ameriprise Financial Inc,0.0073,Institution,#ffcc00
Merrill Lynch Co Inc,Morgan Stanley,0.0073,Institution,#ff1097
Merrill Lynch Co Inc,Invesco Ltd,0.006,Institution,#244513
Merrill Lynch Co Inc,Nuveen Asset Management LLC,0.0056,Institution,#474429
Merrill Lynch Co Inc,Legal General Group PLC,0.0054,Institution,#ff6200
Merrill Lynch Co Inc,Franklin Resources Inc,0.005,Institution,#4a2e32
Merrill Lynch Co Inc,Primecap Management Co,0.0048,Institution,#45374d
Merrill Lynch Co Inc,Dimensional Fund Advisors LP,0.0043,Institution,#32524a
Merrill Lynch Co Inc,Charles Schwab Investment Management,0.0043,Institution,#233c8c
Merrill Lynch Co Inc,Lazard Asset Management LLC,0.0039,Institution,#1b540c
Merrill Lynch Co Inc,Other Institution,0.2223,Institution,#000000
Merrill Lynch Co Inc,Retail,0.0523,Retail,#ffffff
Merrill Lynch Co Inc,Insider,0.0066,Insider,#797979
Merrill Lynch Co Inc,Self,1E-09,Self,#ff2f00
State Street Corp,Vanguard Group Inc,0.0938,Institution,#651c9c
State Street Corp,Blackrock Inc,0.0746,Institution,#0b0bff
State Street Corp,Dodge Cox,0.0581,Institution,#ebb3ff
State Street Corp,State Street Corp,0.05,Institution,#05e2ff
State Street Corp,Fmr LLC,0.0457,Institution,#c8ff00
State Street Corp,Price T Rowe Associates Inc,0.0369,Institution,#af03ff
State Street Corp,Longview Partners Guernsey Ltd,0.033,Institution,#45572f
State Street Corp,Capital International Investors,0.0317,Institution,#8502ff
State Street Corp,Jpmorgan Chase Co,0.0271,Institution,#42649e
State Street Corp,Bank Of America Corp,0.0237,Institution,#ff2f00
State Street Corp,Geode Capital Management LLC,0.0184,Institution,#76bf3d
State Street Corp,Ameriprise Financial Inc,0.0179,Institution,#ffcc00
State Street Corp,Harris Associates L P,0.0142,Institution,#34173d
State Street Corp,Invesco Ltd,0.0128,Institution,#244513
State Street Corp,Northern Trust Corp,0.0127,Institution,#ffb300
State Street Corp,Lsv Asset Management,0.0115,Institution,#44335c
State Street Corp,Massachusetts Financial Services Co,0.0112,Institution,#c271b4
State Street Corp,Goldman Sachs Group Inc,0.0103,Institution,#c9b835
State Street Corp,Yacktman Asset Management LP,0.0102,Institution,#7cad3d
State Street Corp,Ninety One Uk Ltd,0.0092,Institution,#529bb3
State Street Corp,Bank Of New York Mellon,0.0087,Institution,#fb02ff
State Street Corp,Legal General Group PLC,0.0085,Institution,#ff6200
State Street Corp,Hotchkis Wiley Capital Management LLC,0.0082,Institution,#8a84b8
State Street Corp,Manufacturers Life Insurance Company The,0.0077,Institution,#bd6f91
State Street Corp,Coho Partners Ltd,0.0073,Institution,#c29876
State Street Corp,Other Institution,0.2627,Institution,#000000
State Street Corp,Retail,0.0723,Retail,#ffffff
State Street Corp,Insider,0.0216,Insider,#797979
State Street Corp,Self,1E-09,Self,#05e2ff
Bank Of America Corp,Berkshire Hathaway Inc,0.2395,Insider,#c7996f
Bank Of America Corp,Berkshire Hathaway Inc,0.1179,Institution,#c7996f
Bank Of America Corp,Vanguard Group Inc,0.0725,Institution,#651c9c
Bank Of America Corp,Blackrock Inc,0.0598,Institution,#0b0bff
Bank Of America Corp,State Street Corp,0.0391,Institution,#05e2ff
Bank Of America Corp,Fmr LLC,0.0268,Institution,#c8ff00
Bank Of America Corp,Wellington Management Group Llp,0.0201,Institution,#5eff01
Bank Of America Corp,Price T Rowe Associates Inc,0.0146,Institution,#af03ff
Bank Of America Corp,Capital World Investors,0.0138,Institution,#8502ff
Bank Of America Corp,Geode Capital Management LLC,0.0135,Institution,#76bf3d
Bank Of America Corp,Jpmorgan Chase Co,0.0123,Institution,#42649e
Bank Of America Corp,Northern Trust Corp,0.0095,Institution,#ffb300
Bank Of America Corp,Dodge Cox,0.0092,Institution,#ebb3ff
Bank Of America Corp,Bank Of New York Mellon,0.0083,Institution,#fb02ff
Bank Of America Corp,Harris Associates L P,0.008,Institution,#34173d
Bank Of America Corp,Ameriprise Financial Inc,0.0073,Institution,#ffcc00
Bank Of America Corp,Morgan Stanley,0.0073,Institution,#ff1097
Bank Of America Corp,Invesco Ltd,0.006,Institution,#244513
Bank Of America Corp,Nuveen Asset Management LLC,0.0056,Institution,#474429
Bank Of America Corp,Legal General Group PLC,0.0054,Institution,#ff6200
Bank Of America Corp,Franklin Resources Inc,0.005,Institution,#4a2e32
Bank Of America Corp,Primecap Management Co,0.0048,Institution,#45374d
Bank Of America Corp,Dimensional Fund Advisors LP,0.0043,Institution,#32524a
Bank Of America Corp,Charles Schwab Investment Management,0.0043,Institution,#233c8c
Bank Of America Corp,Lazard Asset Management LLC,0.0039,Institution,#1b540c
Bank Of America Corp,Other Institution,0.2223,Institution,#000000
Bank Of America Corp,Retail,0.0523,Retail,#ffffff
Bank Of America Corp,Insider,0.0066,Insider,#797979
Bank Of America Corp,Self,1E-09,Self,#ff2f00
Vanguard Group Inc,Charles Schwab Investment Management,0.11,Institution,#233c8c
Vanguard Group Inc,National Financial Services Corp,0.01,Institution,#453626
Vanguard Group Inc,Ascensus Trust Company,0.04,Institution,#c76122
Vanguard Group Inc,Fidelity Investments,0.12,Institution,#294a20
Vanguard Group Inc,TIAA,0.05,Institution,#cc668c
Vanguard Group Inc,Johns Hopkins,0.03,Institution,#726bd1
Vanguard Group Inc,JNL Series Trust,0.01,Institution,#8dd663
Vanguard Group Inc,Prudential Investment SVCS LLC,0.0527,Institution,#5c3828
Vanguard Group Inc,Northern Trust Corp,0.0737,Institution,#ffb300
Vanguard Group Inc,Jpmorgan Chase Co,0.03,Institution,#42649e
Vanguard Group Inc,TD Ameritrade,0.03,Institution,#e02a12
Vanguard Group Inc,Ubs Group Ag,0.01,Institution,#ccb762
Vanguard Group Inc,Wells Fargo Company,0.02,Institution,#fff700
Vanguard Group Inc,Morgan Stanley,0.05,Institution,#ff1097
Vanguard Group Inc,Ridge Clearing Inc.,0.01,Institution,#5e49eb
Vanguard Group Inc,Merrill Lynch Co Inc,0.11,Institution,#ff2f00
Vanguard Group Inc,Vanguard Group Inc,0.12,Institution,#651c9c
Vanguard Group Inc,Other Institution,0.1136,Institution,#000000
Vanguard Group Inc,Retail,0.01,Retail,#ffffff
Vanguard Group Inc,Self,1E-09,Self,#651c9c
Self,Self,1,Self, 
Insider,Insider,1,Insider,#797979
Retail,Retail,1,Retail,#ffffff
Other Institution,Other Institution,1,Institution,#000000
Default,Default,0.0625,Institution,#0e03db
Default,Default,0.0625,Institution,#e32a00
Default,Default,0.0625,Institution,#9be800
Default,Default,0.0625,Institution,#ed00c2
Default,Default,0.0625,Institution,#05f2f2
Default,Default,0.0625,Institution,#f79000
Default,Default,0.0625,Institution,#fce300
Default,Default,0.0625,Institution,#63a341
Default,Default,0.0625,Institution,#4b4ea6
Default,Default,0.0625,Institution,#ab5d5b
Default,Default,0.0625,Institution,#b067a7
Default,Default,0.0625,Institution,#3c7372
Default,Default,0.0625,Institution,#b09e4d
Default,Default,0.0625,Institution,#6fb56f
Default,Default,0.0625,Institution,#bd4940
Default,Default,0.0625,Institution,#b83abf
Berkshire Hathaway Inc,Vanguard Group Inc,0.1023,Institution,#651c9c
Berkshire Hathaway Inc,Blackrock Inc,0.0817,Institution,#0b0bff
Berkshire Hathaway Inc,State Street Corp,0.0591,Institution,#05e2ff
Berkshire Hathaway Inc,Bill Melinda Gates Foundation Trust,0.0583,Insider,#d92643
Berkshire Hathaway Inc,Bill Melinda Gates Foundation Trust,0.0280,Institution,#d92643
Berkshire Hathaway Inc,Geode Capital Management LLC,0.0212,Institution,#76bf3d
Berkshire Hathaway Inc,Northern Trust Corp,0.0144,Institution,#ffb300
Berkshire Hathaway Inc,Bank Of New York Mellon,0.0109,Institution,#fb02ff
Berkshire Hathaway Inc,Morgan Stanley,0.0096,Institution,#ff1097
Berkshire Hathaway Inc,Bank Of America Corp,0.0084,Institution,#ff2f00
Berkshire Hathaway Inc,Fmr LLC,0.0078,Institution,#c8ff00
Berkshire Hathaway Inc,Jpmorgan Chase Co,0.0067,Institution,#42649e
Berkshire Hathaway Inc,Charles Schwab Investment Management,0.0063,Institution,#233c8c
Berkshire Hathaway Inc,Nuveen Asset Management LLC,0.0060,Institution,#474429
Berkshire Hathaway Inc,Legal General Group PLC,0.0059,Institution,#ff6200
Berkshire Hathaway Inc,Hh International Investment LLC,0.0058,Institution,#e7d618
Berkshire Hathaway Inc,Royal Bank Of Canada,0.0056,Institution,#dc4223
Berkshire Hathaway Inc,Dimensional Fund Advisors LP,0.0052,Institution,#32524a
Berkshire Hathaway Inc,Flossbach Von Storch Ag,0.0050,Institution,#ac88cf
Berkshire Hathaway Inc,Wells Fargo Company,0.0045,Institution,#fff700
Berkshire Hathaway Inc,Price T Rowe Associates Inc,0.0040,Institution,#af03ff
Berkshire Hathaway Inc,Ubs Asset Management Americas Inc,0.0039,Institution,#ccb762
Berkshire Hathaway Inc,Parametric Portfolio Associates LLC,0.0038,Institution,#563dc2
Berkshire Hathaway Inc,Alliance Bernstein LP,0.0036,Institution,#3dc283
Berkshire Hathaway Inc,Eagle Capital Management LLC 1,0.0035,Institution,#b14e55
Berkshire Hathaway Inc,Other Institution,0.1822,Institution,#000000
Berkshire Hathaway Inc,Insider,0.0584,Insider,#797979
Berkshire Hathaway Inc,Retail,0.2879,Retail,#ffffff
Berkshire Hathaway Inc,Self,1E-09,Self,#c7996f
Wells Fargo Company,Berkshire Hathaway Inc,0.2428,Insider,#c7996f
Wells Fargo Company,Vanguard Group Inc,0.0792,Institution,#651c9c
Wells Fargo Company,Blackrock Inc,0.0686,Institution,#0b0bff
Wells Fargo Company,State Street Corp,0.0426,Institution,#05e2ff
Wells Fargo Company,Fmr LLC,0.0401,Institution,#c8ff00
Wells Fargo Company,Dodge Cox,0.0358,Institution,#ebb3ff
Wells Fargo Company,Price T Rowe Associates Inc,0.0312,Institution,#af03ff
Wells Fargo Company,Jpmorgan Chase Co,0.0163,Institution,#42649e
Wells Fargo Company,Geode Capital Management LLC,0.0149,Institution,#76bf3d
Wells Fargo Company,State Farm Mutual Automobile Insurance Co,0.0125,Institution,#d04d2f
Wells Fargo Company,Primecap Management Co,0.0120,Institution,#45374d
Wells Fargo Company,Sanders Capital LLC,0.0116,Institution,#3cc39f
Wells Fargo Company,Northern Trust Corp,0.0108,Institution,#ffb300
Wells Fargo Company,Eagle Capital Management LLC 1,0.0104,Institution,#b14e55
Wells Fargo Company,Davis Selected Advisers,0.0099,Institution,#afbf40
Wells Fargo Company,Invesco Ltd,0.0090,Institution,#244513
Wells Fargo Company,Hotchkis Wiley Capital Management LLC,0.0087,Institution,#8a84b8
Wells Fargo Company,Bank Of New York Mellon,0.0077,Institution,#fb02ff
Wells Fargo Company,Alliance Bernstein LP,0.0070,Institution,#3dc283
Wells Fargo Company,Ubs Asset Management Americas Inc,0.0062,Institution,#ccb762
Wells Fargo Company,Bank Of America Corp,0.0056,Institution,#ff2f00
Wells Fargo Company,Morgan Stanley,0.0055,Institution,#ff1097
Wells Fargo Company,Legal General Group PLC,0.0055,Institution,#ff6200
Wells Fargo Company,Charles Schwab Investment Management,0.0053,Institution,#233c8c
Wells Fargo Company,Pzena Investment Management LLC,0.0049,Institution,#8a43bc
Wells Fargo Company,Retail,0.0612,Retail,#ffffff
Wells Fargo Company,Other Institution,0.2347,Institution,#000000
Wells Fargo Company,Self,1E-09,Self,#fff700
Charles Schwab Investment Management,Insider,0.1297,Insider,#797979
Charles Schwab Investment Management,Vanguard Group Inc,0.0604,Institution,#651c9c
Charles Schwab Investment Management,Blackrock Inc,0.0571,Institution,#0b0bff
Charles Schwab Investment Management,Price T Rowe Associates Inc,0.0428,Institution,#af03ff
Charles Schwab Investment Management,Wellington Management Group Llp,0.0426,Institution,#5eff01
Charles Schwab Investment Management,Dodge Cox,0.0409,Institution,#ebb3ff
Charles Schwab Investment Management,State Street Corp,0.0346,Institution,#05e2ff
Charles Schwab Investment Management,Jpmorgan Chase Co,0.0219,Institution,#42649e
Charles Schwab Investment Management,Massachusetts Financial Services Co,0.0185,Institution,#c271b4
Charles Schwab Investment Management,Primecap Management Co,0.0156,Institution,#45374d
Charles Schwab Investment Management,Geode Capital Management LLC,0.0118,Institution,#76bf3d
Charles Schwab Investment Management,Alliance Bernstein LP,0.0110,Institution,#3dc283
Charles Schwab Investment Management,Northern Trust Corp,0.0097,Institution,#ffb300
Charles Schwab Investment Management,Generation Investment Management Llp,0.0094,Institution,#8b728d
Charles Schwab Investment Management,Parnassus Investments,0.0087,Institution,#e7f609
Charles Schwab Investment Management,Citigroup Inc,0.0068,Institution,#b54a98
Charles Schwab Investment Management,Bank Of New York Mellon,0.0068,Institution,#fb02ff
Charles Schwab Investment Management,Harris Associates L P,0.0065,Institution,#34173d
Charles Schwab Investment Management,Nuveen Asset Management LLC,0.0065,Institution,#474429
Charles Schwab Investment Management,Bank Of America Corp,0.0065,Institution,#ff2f00
Charles Schwab Investment Management,American Century Companies Inc,0.0064,Institution,#12ed76
Charles Schwab Investment Management,Fmr LLC,0.0053,Institution,#c8ff00
Charles Schwab Investment Management,Amundi Asset Management Us Inc,0.0051,Institution,#3656c9
Charles Schwab Investment Management,Ninety One Uk Ltd,0.0051,Institution,#529bb3
Charles Schwab Investment Management,Legal General Group PLC,0.0049,Institution,#ff6200
Charles Schwab Investment Management,Retail,0.1881,Retail,#ffffff
Charles Schwab Investment Management,Other Institution,0.2373,Institution,#000000
Charles Schwab Investment Management,Self,1E-09,Self,#233c8c
Jpmorgan Chase Co,Vanguard Group Inc,0.0869,Institution,#651c9c
Jpmorgan Chase Co,Blackrock Inc,0.0655,Institution,#0b0bff
Jpmorgan Chase Co,State Street Corp,0.0469,Institution,#05e2ff
Jpmorgan Chase Co,Capital World Investors,0.0262,Institution,#8502ff
Jpmorgan Chase Co,Bank Of America Corp,0.0188,Institution,#ff2f00
Jpmorgan Chase Co,Wellington Management Group Llp,0.0185,Institution,#5eff01
Jpmorgan Chase Co,Fmr LLC,0.0156,Institution,#c8ff00
Jpmorgan Chase Co,Geode Capital Management LLC,0.0150,Institution,#76bf3d
Jpmorgan Chase Co,Capital Research Global Investors,0.0150,Institution,#8502ff
Jpmorgan Chase Co,Northern Trust Corp,0.0133,Institution,#ffb300
Jpmorgan Chase Co,Capital International Investors,0.0127,Institution,#8502ff
Jpmorgan Chase Co,Morgan Stanley,0.0125,Institution,#ff1097
Jpmorgan Chase Co,Massachusetts Financial Services Co,0.0109,Institution,#c271b4
Jpmorgan Chase Co,Bank Of New York Mellon,0.0101,Institution,#fb02ff
Jpmorgan Chase Co,Wells Fargo Company,0.0089,Institution,#fff700
Jpmorgan Chase Co,Royal Bank Of Canada,0.0084,Institution,#dc4223
Jpmorgan Chase Co,Insider,0.0180,Insider,#797979
Jpmorgan Chase Co,Price T Rowe Associates Inc,0.0074,Institution,#af03ff
Jpmorgan Chase Co,Nuveen Asset Management LLC,0.0072,Institution,#474429
Jpmorgan Chase Co,Ameriprise Financial Inc,0.0071,Institution,#ffcc00
Jpmorgan Chase Co,Franklin Resources Inc,0.0068,Institution,#4a2e32
Jpmorgan Chase Co,Dimensional Fund Advisors LP,0.0067,Institution,#32524a
Jpmorgan Chase Co,Legal General Group PLC,0.0060,Institution,#ff6200
Jpmorgan Chase Co,Ubs Group Ag,0.0057,Institution,#ccb762
Jpmorgan Chase Co,Charles Schwab Investment Management,0.0055,Institution,#233c8c
Jpmorgan Chase Co,Retail,0.0737,Retail,#ffffff
Jpmorgan Chase Co,Other Institution,0.4707,Institution,#000000
Jpmorgan Chase Co,Self,1E-09,Self,#42649e
Sinclair Broadcasting Group,HG Vora Capital Management,0.0921,Institution,#3e3cc3
Sinclair Broadcasting Group,Vanguard Group Inc,0.0890,Institution,#651c9c
Sinclair Broadcasting Group,Blackrock Inc,0.0721,Institution,#0b0bff
Sinclair Broadcasting Group,Contrarius Investment Management,0.0713,Institution,#c13e57
Sinclair Broadcasting Group,Conifer Management LLC,0.0560,Institution,#b11ee1
Sinclair Broadcasting Group,Goldman Sachs Group Inc,0.0419,Institution,#c9b835
Sinclair Broadcasting Group,Gamco Investors Inc,0.0385,Institution,#49b650
Sinclair Broadcasting Group,Vaughan Nelson Investment Management,0.0352,Institution,#f9be06
Sinclair Broadcasting Group,State Street Corporation,0.0173,Institution,#05e2ff
Sinclair Broadcasting Group,Gabelli Funds LLC,0.0153,Institution,#a75871
Sinclair Broadcasting Group,Vanguard Group Inc,0.0739,Institution,#651c9c
Sinclair Broadcasting Group,Geode Capital Management LLC,0.0103,Institution,#76bf3d
Sinclair Broadcasting Group,Jpmorgan Chase Co,0.0099,Institution,#42649e
Sinclair Broadcasting Group,D E Shaw Co Inc,0.0098,Institution,#7eaa55
Sinclair Broadcasting Group,Charles Schwab Investment Management,0.0097,Institution,#233c8c
Sinclair Broadcasting Group,Canada Pension Plan Investment Board,0.0092,Institution,#5aa1a5
Sinclair Broadcasting Group,Northern Trust Corp,0.0085,Institution,#ffb300
Sinclair Broadcasting Group,Other Institution,0.1847,Institution,#000000
Sinclair Broadcasting Group,Insider,0.0722,Insider,#797979
Sinclair Broadcasting Group,Retail,0.0831,Retail,#ffffff
Comcast,Vanguard Group Inc,0.0843,Institution,#651c9c
Comcast,Blackrock Inc,0.0691,Institution,#0b0bff
Comcast,Capital International Investors,0.0478,Institution,#8502ff
Comcast,State Street Corp,0.0363,Institution,#05e2ff
Comcast,Capital Research Global Investors,0.0293,Institution,#8502ff
Comcast,Massachusetts Financial Services Co,0.0273,Institution,#c271b4
Comcast,Capital World Investors,0.0244,Institution,#8502ff
Comcast,Wellington Management Group Llp,0.0223,Institution,#5eff01
Comcast,Fmr LLC,0.0219,Institution,#c8ff00
Comcast,Dodge Cox,0.0185,Institution,#ebb3ff
Comcast,Geode Capital Management LLC,0.0158,Institution,#76bf3d
Comcast,Jpmorgan Chase Co,0.0155,Institution,#42649e
Comcast,Bank Of America Corp,0.0148,Institution,#ff2f00
Comcast,Clearbridge Investments LLC,0.0139,Institution,#ceef10
Comcast,Price T Rowe Associates Inc,0.0115,Institution,#af03ff
Comcast,Northern Trust Corp,0.0113,Institution,#ffb300
Comcast,Ameriprise Financial Inc,0.0113,Institution,#ffcc00
Comcast,Bank Of New York Mellon,0.0098,Institution,#fb02ff
Comcast,Wells Fargo Company,0.0097,Institution,#fff700
Comcast,Dimensional Fund Advisors LP,0.0088,Institution,#32524a
Comcast,Nuveen Asset Management LLC,0.0083,Institution,#474429
Comcast,Eagle Capital Management LLC 1,0.0083,Institution,#b14e55
Comcast,Morgan Stanley,0.0080,Institution,#ff1097
Comcast,Alliance Bernstein LP,0.0066,Institution,#3dc283
Comcast,Vanguard Group Inc,0.0485,Institution,#651c9c
Comcast,Dodge Cox,0.0104,Institution,#ebb3ff
Comcast,Other Institution,0.2683,Institution,#000000
Comcast,Insider,0.0066,Insider,#797979
Comcast,Retail,0.1314,Retail,#ffffff
AT&T,Vanguard Group Inc,0.0787,Institution,#651c9c
AT&T,Blackrock Inc,0.0689,Institution,#0b0bff
AT&T,State Street Corp,0.0403,Institution,#05e2ff
AT&T,Newport Trust Co,0.0273,Institution,#4c8cb3
AT&T,Geode Capital Management LLC,0.0162,Institution,#76bf3d
AT&T,Northern Trust Corp,0.0111,Institution,#ffb300
AT&T,Norges Bank Investment Management,0.0098,Institution,#b84785
AT&T,Morgan Stanley,0.0093,Institution,#ff1097
AT&T,Bank Of America Corp,0.0087,Institution,#ff2f00
AT&T,Bank Of New York Mellon,0.0085,Institution,#fb02ff
AT&T,Dimensional Fund Advisors LP,0.0080,Institution,#32524a
AT&T,Wells Fargo Company,0.0068,Institution,#fff700
AT&T,Charles Schwab Investment Management,0.0067,Institution,#233c8c
AT&T,Legal General Group PLC,0.0064,Institution,#ff6200
AT&T,Invesco Ltd,0.0052,Institution,#244513
AT&T,Nuveen Asset Management LLC,0.0051,Institution,#474429
AT&T,Swiss National Bank,0.0042,Institution,#e21d20
AT&T,Nordea Investment Management Ab,0.0040,Institution,#5863a7
AT&T,Ubs Asset Management Americas Inc,0.0040,Institution,#ccb762
AT&T,California Public Employees Retirement,0.0039,Institution,#decf21
AT&T,Franklin Resources Inc,0.0038,Institution,#4a2e32
AT&T,State Farm Mutual Automobile Insurance Co,0.0038,Institution,#d04d2f
AT&T,Ubs Group Ag,0.0037,Institution,#ccb762
AT&T,Royal Bank Of Canada,0.0037,Institution,#dc4223
AT&T,Price T Rowe Associates Inc,0.0035,Institution,#af03ff
AT&T,Deutsche Bank Ag,0.0034,Institution,#b84757
AT&T,Vanguard Group Inc,0.0673,Institution,#651c9c
AT&T,Fidelity Investments,0.0093,Institution,#294a20
AT&T,Other Institution,0.0924,Institution,#000000
AT&T,Retail,0.4736,Retail,#ffffff
AT&T,Insider,0.0024,Insider,#797979
News Corp,Vanguard Group Inc,0.1317,Institution,#651c9c
News Corp,Price T Rowe Associates Inc,0.1298,Institution,#af03ff
News Corp,Independent Franchise Partners,0.0776,Institution,#6c937e
News Corp,Blackrock Inc,0.0706,Institution,#0b0bff
News Corp,State Street Corp,0.0451,Institution,#05e2ff
News Corp,Yacktman Asset Management LP,0.0417,Institution,#7cad3d
News Corp,Dodge Cox,0.0330,Institution,#ebb3ff
News Corp,Hotchkis & Wiley Capital Management,0.0320,Institution,#fac705
News Corp,Burgundy Asset Management Ltd,0.0244,Institution,#a85957
News Corp,Geode Capital Management LLC,0.0194,Institution,#76bf3d
News Corp,Sof Ltd,0.0166,Institution,#9b9a64
News Corp,Dimensional Fund Advisors LP,0.0143,Institution,#32524a
News Corp,Arrowstreet Capital Limited Partnership,0.0132,Institution,#d52a8d
News Corp,Citadel Advisors LLC,0.0113,Institution,#0200ff
News Corp,Goldman Sachs Group Inc,0.0109,Institution,#c9b835
News Corp,Contour Asset Management LLC,0.0091,Institution,#2b44d4
News Corp,Northern Trust Corp,0.0090,Institution,#ffb300
News Corp,Darsana Capital Partners LP,0.0085,Institution,#57ae51
News Corp,Bank Of New York Mellon,0.0080,Institution,#fb02ff
News Corp,Artisan Partners Limited Partnership,0.0074,Institution,#af7050
News Corp,Invesco Ltd,0.0070,Institution,#244513
News Corp,Charles Schwab Investment Management,0.0067,Institution,#233c8c
News Corp,Nuveen Asset Management LLC,0.0064,Institution,#474429
News Corp,Legal General Group PLC,0.0061,Institution,#ff6200
News Corp,Other Institution,0.0220,Institution,#000000
News Corp,Insider,0.1297,Insider,#797979
News Corp,Retail,0.1085,Retail,#ffffff
ViacomCBS,Vanguard Group Inc,0.0998,Institution,#651c9c
ViacomCBS,Blackrock Inc,0.0678,Institution,#0b0bff
ViacomCBS,Amusements Inc National,0.0514,Insider,#80d827
ViacomCBS,State Street Corp,0.0504,Institution,#05e2ff
ViacomCBS,Credit Suisse Ag 1,0.0449,Institution,#43bca8
ViacomCBS,Nomura Holdings Inc,0.0319,Institution,#6a6c95
ViacomCBS,Jane Street Group LLC,0.0273,Institution,#2ed19c
ViacomCBS,Susquehanna International Group Llp,0.0265,Institution,#ff00fb
ViacomCBS,Toronto Dominion Bank,0.0218,Institution,#6a17e8
ViacomCBS,Partners L. P. Bvf,0.0193,Insider,#718e77
ViacomCBS,Geode Capital Management LLC,0.0178,Institution,#76bf3d
ViacomCBS,Bank Of Nova Scotia,0.0165,Institution,#e2a31d
ViacomCBS,Bank Of New York Mellon,0.0165,Institution,#fb02ff
ViacomCBS,Hsbc Holdings PLC 1,0.0152,Institution,#2a34d5
ViacomCBS,Goldman Sachs Group Inc,0.0126,Institution,#c9b835
ViacomCBS,Bank Of America Corp,0.0120,Institution,#ff2f00
ViacomCBS,Canada Pension Plan Investment Board,0.0108,Institution,#5aa1a5
ViacomCBS,Ubs Group Ag,0.0106,Institution,#ccb762
ViacomCBS,Citigroup Inc,0.0102,Institution,#b54a98
ViacomCBS,Northern Trust Corp,0.0101,Institution,#ffb300
ViacomCBS,Morgan Stanley,0.0101,Institution,#ff1097
ViacomCBS,Marshall Wace Llp,0.0098,Institution,#8a54ab
ViacomCBS,Millennium Management LLC,0.0097,Institution,#b3984c
ViacomCBS,Insider,0.1254,Insider,#797979
ViacomCBS,Retail,0.0036,Retail,#ffffff
ViacomCBS,Other Institution,0.2681,Institution,#000000
Amazon,Vanguard Group Inc,0.0647,Institution,#651c9c
Amazon,Blackrock Inc,0.0555,Institution,#0b0bff
Amazon,State Street Corp,0.0315,Institution,#05e2ff
Amazon,Price T Rowe Associates Inc,0.0314,Institution,#af03ff
Amazon,Fmr LLC,0.0304,Institution,#c8ff00
Amazon,Geode Capital Management LLC,0.0131,Institution,#76bf3d
Amazon,Morgan Stanley,0.0111,Institution,#ff1097
Amazon,Northern Trust Corp,0.0097,Institution,#ffb300
